Timestamp,Frame_Number,Detected_Letter,Confidence,Current_Word,Sentence,Hand_Position,Processing_Time_Ms
2025-12-02 13:22:06.166,64,2,0.24,2,,"(492, 386)",8.40
2025-12-02 13:22:09.105,149,SAYA,0.47,SAYA,,"(479, 328)",11.57
2025-12-02 13:22:19.803,468,4,0.41,4,,"(253, 250)",12.01
2025-12-02 13:22:24.844,606,B,0.33,B,,"(451, 123)",13.72
2025-12-02 13:22:30.713,773,E,0.40,E,,"(487, 218)",10.11
2025-12-02 13:22:33.377,851,B,0.47,B,,"(472, 184)",10.28
2025-12-02 13:22:36.062,928,E,0.23,E,B,"(490, 191)",11.73
2025-12-02 13:22:40.394,1052,A,0.41,A,B,"(482, 202)",12.24
2025-12-02 13:22:43.077,1130,4,0.37,4,,"(488, 180)",14.53
2025-12-02 13:22:46.086,1213,0,0.29,0,,"(361, 224)",10.45
2025-12-02 13:22:48.760,1291,A,0.33,A,0,"(453, 190)",10.22
2025-12-02 13:22:51.439,1368,4,0.40,4,0 YA,"(487, 180)",12.49
2025-12-02 13:22:54.128,1446,E,0.35,E,0 YA,"(496, 192)",10.01
2025-12-02 13:22:56.817,1523,E,0.34,E,0 YA,"(492, 203)",10.47
2025-12-02 13:23:13.083,1985,B,0.35,B,,"(477, 201)",10.10
2025-12-02 13:23:15.756,2062,A,0.59,BA,,"(514, 226)",15.88
2025-12-02 13:23:18.775,2144,B,0.41,BAB,,"(501, 204)",9.96
2025-12-02 13:23:21.422,2221,E,0.55,BABE,,"(517, 224)",10.61
2025-12-02 13:23:32.137,2539,E,0.61,E,BABE,"(478, 237)",10.41
2025-12-02 13:23:34.790,2616,A,0.47,EA,BABE,"(479, 196)",10.45
2025-12-02 13:23:38.621,2727,A,0.46,A,BABE,"(486, 200)",10.30
2025-12-02 13:23:41.302,2805,E,0.39,AE,BABE,"(471, 196)",12.98
2025-12-02 13:23:45.322,2914,C,0.33,AEC,BABE,"(483, 197)",11.99
2025-12-02 13:23:57.961,3286,B,0.25,AECB,BABE,"(467, 203)",10.29
2025-12-02 13:24:02.926,3425,A,0.54,A,,"(471, 225)",11.26
2025-12-02 13:24:05.604,3503,4,0.41,A4,,"(467, 189)",12.14
2025-12-02 13:24:09.863,3628,B,0.45,AB,,"(454, 201)",12.31
2025-12-02 13:24:12.541,3706,C,0.85,ABC,,"(507, 214)",10.19
2025-12-02 13:24:15.176,3783,D,0.69,ABCD,,"(514, 212)",10.51
2025-12-02 13:24:17.903,3859,E,0.59,ABCDE,,"(478, 218)",12.20
2025-12-02 13:24:20.537,3935,1,0.41,ABCDE1,,"(502, 216)",12.33
2025-12-02 13:24:26.528,4110,1,0.27,1,ABCDE,"(509, 236)",11.99
2025-12-02 13:24:29.183,4187,2,0.72,12,ABCDE,"(492, 225)",10.03
2025-12-02 13:24:31.859,4264,D,0.40,12D,ABCDE,"(480, 221)",12.17
2025-12-02 13:24:35.424,4368,D,0.35,12D,ABCDE,"(493, 228)",12.45
2025-12-02 13:24:38.100,4446,D,0.36,12DD,ABCDE,"(475, 218)",11.79
2025-12-02 13:24:56.602,4820,3,0.62,123,ABCDE,"(387, 209)",10.83
2025-12-02 13:24:59.608,4901,4,0.52,1234,ABCDE,"(397, 197)",9.58
2025-12-02 13:25:28.671,5530,A,0.43,A,ABCDE 1234,"(103, 227)",20.91
2025-12-02 13:25:33.396,5598,3,0.20,A3,ABCDE 1234,"(635, 363)",20.75
2025-12-02 13:25:46.025,5782,C,0.23,A3C,ABCDE 1234,"(457, 254)",24.24
